Species;Coloniality;Corallite.width.maximum;Colony.maximum.diameter;Depth.lower;Depth.upper;Growth.form.typical;Wave.exposure.preference;Water.clarity.preference;Substrate.attachment;Skeletal.density;Sexual.system;Mode.of.larval.development;Growth.rate
Agaricia_agaricites;colonial;5.5;34.955;66.6666666666667;1.16666666666667;laminar;broad;clear;attached;2.03;gonochore;brooder;1.1512
Agaricia_fragilis;colonial;5;4.74;77.3333333333333;5.33333333333333;encrusting;protected;clear;attached;2.31;NA;brooder;NA
Agaricia_grahamae;colonial;6.5;NA;82.5;22.5;laminar;broad;clear;attached;NA;NA;NA;NA
Agaricia_humilis;colonial;6;12;20;5;encrusting;broad;clear;attached;NA;gonochore;brooder;NA
Agaricia_lamarcki;colonial;7.9;11.21;76;10;laminar;broad;clear;attached;2.28666666666667;NA;NA;NA
Agaricia_tenuifolia;colonial;5.1;NA;16.5;2.5;laminar;broad;clear;attached;NA;NA;brooder;NA
Agaricia_undata;colonial;6;NA;70;20.3333333333333;laminar;broad;clear;attached;2.45;NA;NA;NA
Alveopora_allingi;colonial;3.7;NA;10;5;columnar;protected;clear;attached;NA;NA;NA;NA
Alveopora_catalai;colonial;4.1;833.333333333333;30;3;branching_closed;protected;both;attached;NA;NA;NA;NA
Alveopora_daedalea;colonial;2.2;NA;30;3;columnar;protected;clear;attached;NA;hermaphrodite;brooder;NA
Alveopora_excelsa;colonial;2;200;30;3;submassive;exposed;clear;attached;NA;NA;NA;NA
Alveopora_fenestrata;colonial;3.4;NA;17.5;4;massive;broad;clear;attached;NA;NA;spawner;NA
Alveopora_gigas;colonial;6.6;NA;30;3;columnar;protected;turbid;attached;NA;hermaphrodite;spawner;NA
Alveopora_japonica;colonial;2.7;4;NA;NA;massive;exposed;clear;attached;NA;hermaphrodite;brooder;NA
Alveopora_marionensis;colonial;3.4;NA;30;1;submassive;exposed;clear;attached;NA;NA;NA;NA
Alveopora_minuta;colonial;1.3;10;20;1;submassive;exposed;clear;attached;NA;NA;NA;NA
Alveopora_ocellata;colonial;1.5;NA;30;10;encrusting;protected;clear;attached;NA;NA;NA;NA
Alveopora_spongiosa;colonial;1.5;150;35;3;columnar;protected;clear;attached;NA;NA;NA;NA
Alveopora_tizardi;colonial;1.5;NA;50;3;encrusting;broad;clear;attached;NA;NA;spawner;NA
Alveopora_verrilliana;colonial;2.1;NA;70;15;submassive;broad;clear;attached;NA;hermaphrodite;spawner;NA
Alveopora_viridis;colonial;1.7;NA;50;5;columnar;protected;clear;attached;NA;NA;NA;NA
Anacropora_forbesi;colonial;0.5;NA;25;2;branching_closed;broad;turbid;attached;NA;NA;NA;NA
Anacropora_matthai;colonial;0.6;NA;20;8;branching_closed;protected;clear;attached;NA;NA;NA;NA
Anacropora_pillai;colonial;0.6;NA;25;8;branching_closed;protected;turbid;attached;NA;NA;NA;NA
Anacropora_puertogalerae;colonial;0.8;NA;20;5;branching_closed;broad;turbid;attached;NA;hermaphrodite;spawner;NA
Anacropora_reticulata;colonial;0.9;NA;15;3;branching_closed;broad;clear;attached;NA;NA;NA;NA
Anacropora_spinosa;colonial;0.9;NA;15;5;branching_closed;broad;clear;attached;NA;NA;NA;NA
Anacropora_spumosa;colonial;0.7;NA;15;5;branching_closed;broad;clear;attached;NA;NA;NA;NA
Anomastraea_irregularis;colonial;5.4;NA;20;0;submassive;protected;turbid;attached;NA;NA;NA;NA
Astrangia_lajollaensis;NA;NA;NA;NA;NA;NA;broad;clear;NA;NA;gonochore;spawner;NA
Astrangia_poculata;colonial;NA;NA;NA;NA;submassive;broad;clear;attached;NA;gonochore;spawner;NA
Astrea_annuligera;colonial;6.3;NA;30;2;encrusting;protected;clear;attached;NA;NA;NA;NA
Astrea_curta;colonial;9.3;NA;45;0;massive;protected;clear;attached;NA;hermaphrodite;spawner;2.6
Astrea_devantieri;colonial;4.5;150;20;0;massive;broad;clear;attached;NA;NA;NA;NA
